hotel_class,name,id,locality,region
4.0,Casablanca Hotel Times Square,113317,New York City,NY
5.0,Four Seasons Hotel Los Angeles at Beverly Hills,76049,Los Angeles,CA
3.5,Hilton Garden Inn Times Square,99352,New York City,NY
4.0,The Michelangelo Hotel,93589,New York City,NY
4.0,The Muse Hotel New York,217616,New York City,NY
4.5,Sofitel New York,208454,New York City,NY
2.8850684495383634,The NoMad Hotel,2643161,New York City,NY
3.5,Staybridge Suites Times Square - New York City,1465162,New York City,NY
4.5,The Sherry-Netherland Hotel,93559,New York City,NY
4.0,San Carlos Hotel,80112,New York City,NY
4.0,The Iroquois,93396,New York City,NY
4.0,Eventi - a Kimpton Hotel,1456560,New York City,NY
5.0,The Chatwal,1641016,New York City,NY
5.0,"The Setai Fifth Avenue, a Capella managed Hotel",1776857,New York City,NY
4.0,Andaz 5th Avenue,1762573,New York City,NY
3.0,Hotel Beacon,93338,New York City,NY
5.0,"The Ritz-Carlton New York, Central Park",224224,New York City,NY
3.0,Holiday Inn Hotel-Houston Westchase,1866401,Houston,TX
4.5,Omni Houston Hotel,99060,Houston,TX
2.5,La Quinta Inn & Suites Houston - Normandy,1218737,Houston,TX
3.5,Crowne Plaza Houston - Brookhollow,99081,Houston,TX
3.0,Drury Inn & Suites Houston Near The Galleria,107915,Houston,TX
4.0,The Westin Houston Memorial City,1966350,Houston,TX
3.5,Hilton University of Houston,108038,Houston,TX
4.0,Hotel Sorella CITYCENTRE,1200103,Houston,TX
4.0,"Hotel Icon, Autograph Collection",283873,Houston,TX
5.0,Four Seasons Hotel Houston,98952,Houston,TX
2.5,Extended Stay America - Houston - Northwest,107956,Houston,TX
3.0,Hilton Garden Inn Houston Energy Corridor,1158926,Houston,TX
4.0,Hilton Americas - Houston,282699,Houston,TX
3.5,BEST WESTERN PLUS Downtown Inn & Suites Houston,239853,Houston,TX
3.0,Courtyard by Marriott Houston by the Galleria,665163,Houston,TX
4.0,Renaissance Houston Hotel Greenway Plaza,111618,Houston,TX
4.0,Westin Galleria Houston Hotel,99114,Houston,TX
3.0,Courtyard by Marriott Houston Westchase,107924,Houston,TX
2.5,Hampton Inn and Suites Houston Medical Center - Reliant Park,223151,Houston,TX
2.5,La Quinta Inn Houston Northwest,223137,Houston,TX
4.0,Alden-Houston,258636,Houston,TX
3.5,Houston Marriott Westchase,98920,Houston,TX
2.0,Super 8 Houston Hobby Airport South,1236706,Houston,TX
3.0,Residence Inn Houston Clear Lake,108057,Houston,TX
2.0,Carefree Inn Medical Center,240436,Houston,TX
2.0,Super 8 Houston/Hobby Airport/I-45,266158,Houston,TX
2.5,Holiday Inn Express Houston East,559491,Houston,TX
2.8850684495383634,Crowne Plaza,1630591,Houston,TX
2.0,La Quinta Inn Houston Medical / Reliant Center,99106,Houston,TX
4.0,Royal Sonesta Hotel Houston,242394,Houston,TX
3.0,Holiday Inn Houston Intercontinental Airport,108148,Houston,TX
3.0,"Four Points by Sheraton Houston, Memorial City",99067,Houston,TX
2.8850684495383634,Residence Inn Houston West/Energy Corridor,585164,Houston,TX
3.5,Marriott Houston Airport at George Bush Intercontinental,98987,Houston,TX
2.0,Extended Stay America - Houston - Westchase - Westheimer,107863,Houston,TX
2.8850684495383634,Scottish Inn & Suites Reliant Park/Six Flags,258634,Houston,TX
2.0,TownePlace Suites Houston Clear Lake,108054,Houston,TX
2.5,Quality Inn & Suites West Chase,223158,Houston,TX
2.5,Holiday Inn Express Hotel & Suites Houston NW-Beltway 8-West Road,1773009,Houston,TX
3.0,Hyatt Place Houston/Greenspoint/IAH Airport,107834,Houston,TX
2.5,Hampton Inn Houston - Near The Galleria,223154,Houston,TX
3.0,Homewood Suites by Hilton Houston - Clear Lake,223164,Houston,TX
2.5,Drury Inn & Suites Houston Hobby,108149,Houston,TX
3.0,Ramada Houston Intercontinental Airport South,142023,Houston,TX
2.5,Baymont Inn & Suites Houston,223148,Houston,TX
3.5,Hilton Houston Westchase,99132,Houston,TX
2.5,BEST WESTERN Heritage Inn,108020,Houston,TX
3.0,Courtyard by Marriott Houston Hobby Airport,108150,Houston,TX
2.5,Comfort Suites Westchase,223141,Houston,TX
2.5,Days Inn And Suites Houston IAH Airport,223160,Houston,TX
2.5,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,223179,Houston,TX
3.5,Sheraton North Houston at George Bush Intercontinental,99101,Houston,TX
3.0,Staybridge Suites Houston West / Energy Corridor,596014,Houston,TX
2.8850684495383634,Scottish Inns & Suites - Willowbrook,815515,Houston,TX
2.0,Sun Suites of Hobby / Clearlake,256700,Houston,TX
2.0,Sun Suites Of Westchase,256702,Houston,TX
3.0,Staybridge Suites Houston Iah - Beltway 8,2712053,Houston,TX
2.0,Symphony Inn & Suites,650546,Houston,TX
1.5,Americas Best Value Inn-Texas Medical Center/Reliant Park,99004,Houston,TX
2.5,Hampton Inn Houston Hobby Airport,223149,Houston,TX
3.5,DoubleTree by Hilton Houston Hobby Airport,98989,Houston,TX
2.0,Candlewood Suites Houston by the Galleria,107930,Houston,TX
